ID,Name,Age,Gender,Department,Salary,Joining_Date,Performance_Score
1,Person_1,56,Female,HR,112800,2010-01-01,C
2,Person_2,46,Female,IT,98685,2010-01-02,A
3,Person_3,32,Male,HR,54660,2010-01-03,D
4,Person_4,25,Female,HR,116064,2010-01-04,A
5,Person_5,38,Male,HR,31168,2010-01-05,A
6,Person_6,56,Female,Finance,75124,2010-01-06,B
7,Person_7,36,Female,Marketing,65897,2010-01-07,A
8,Person_8,40,Male,IT,45032,2010-01-08,D
9,Person_9,28,Male,HR,82797,2010-01-09,A
10,Person_10,28,Male,Marketing,65294,2010-01-10,D
11,Person_11,41,Female,Marketing,73827,2010-01-11,C
12,Person_12,53,Male,Finance,33516,2010-01-12,A
13,Person_13,57,Female,IT,49751,2010-01-13,D
14,Person_14,41,Male,Finance,60373,2010-01-14,C
15,Person_15,20,Female,Marketing,60270,2010-01-15,D
16,Person_16,39,Female,Marketing,40386,2010-01-16,C
17,Person_17,19,Male,Marketing,94817,2010-01-17,B
18,Person_18,41,Female,Finance,95184,2010-01-18,A
19,Person_19,47,Female,IT,109693,2010-01-19,A
20,Person_20,55,Male,HR,67879,2010-01-20,C
21,Person_21,19,Female,Finance,79597,2010-01-21,B
22,Person_22,38,Male,Marketing,69132,2010-01-22,D
23,Person_23,50,Male,Finance,33626,2010-01-23,B
24,Person_24,29,Male,Marketing,115936,2010-01-24,D
25,Person_25,39,Male,HR,111515,2010-01-25,D
26,Person_26,42,Female,HR,107065,2010-01-26,A
27,Person_27,44,Female,IT,85390,2010-01-27,C
28,Person_28,59,Female,Marketing,46645,2010-01-28,A
29,Person_29,45,Male,IT,84144,2010-01-29,A
30,Person_30,33,Female,IT,43382,2010-01-30,A
31,Person_31,32,Female,HR,34025,2010-01-31,D
32,Person_32,20,Male,Finance,73226,2010-02-01,A
33,Person_33,54,Male,Finance,109380,2010-02-02,D
34,Person_34,24,Female,IT,99711,2010-02-03,C
35,Person_35,38,Male,HR,104710,2010-02-04,D
36,Person_36,26,Male,Marketing,33443,2010-02-05,D
37,Person_37,56,Male,Finance,51395,2010-02-06,B
38,Person_38,35,Male,IT,40725,2010-02-07,A
39,Person_39,21,Female,Finance,63461,2010-02-08,A
40,Person_40,42,Male,Finance,71115,2010-02-09,A
41,Person_41,31,Male,Marketing,113732,2010-02-10,A
42,Person_42,26,Male,HR,109790,2010-02-11,B
43,Person_43,43,Male,Marketing,109557,2010-02-12,B
44,Person_44,19,Male,HR,101260,2010-02-13,B
45,Person_45,37,Male,Finance,58690,2010-02-14,B
46,Person_46,45,Male,IT,31407,2010-02-15,A
47,Person_47,24,Male,Marketing,103568,2010-02-16,D
48,Person_48,25,Female,HR,88560,2010-02-17,C
49,Person_49,52,Male,Finance,77340,2010-02-18,B
50,Person_50,31,Female,HR,47794,2010-02-19,D
51,Person_51,34,Male,HR,49881,2010-02-20,B
52,Person_52,53,Male,HR,116292,2010-02-21,A
53,Person_53,57,Male,Finance,79703,2010-02-22,A
54,Person_54,21,Male,IT,74354,2010-02-23,D
55,Person_55,19,Female,IT,108462,2010-02-24,D
56,Person_56,23,Male,IT,44390,2010-02-25,D
57,Person_57,59,Male,HR,117475,2010-02-26,A
58,Person_58,21,Female,Finance,57307,2010-02-27,A
59,Person_59,46,Female,HR,54502,2010-02-28,C
60,Person_60,35,Male,IT,52486,2010-03-01,D
61,Person_61,43,Female,IT,68258,2010-03-02,C
62,Person_62,51,Female,Finance,87716,2010-03-03,B
63,Person_63,27,Female,HR,111494,2010-03-04,C
64,Person_64,53,Male,Marketing,112768,2010-03-05,B
65,Person_65,31,Male,Marketing,40748,2010-03-06,B
66,Person_66,48,Male,IT,92785,2010-03-07,C
67,Person_67,32,Female,Finance,106050,2010-03-08,D
68,Person_68,25,Male,HR,52738,2010-03-09,B
69,Person_69,31,Female,HR,104231,2010-03-10,D
70,Person_70,40,Male,IT,103606,2010-03-11,A
71,Person_71,57,Male,IT,71662,2010-03-12,B
72,Person_72,38,Female,HR,112234,2010-03-13,A
73,Person_73,33,Male,HR,45123,2010-03-14,C
74,Person_74,35,Female,IT,55616,2010-03-15,D
75,Person_75,41,Female,HR,41182,2010-03-16,C
76,Person_76,43,Male,Marketing,92013,2010-03-17,B
77,Person_77,42,Female,IT,61331,2010-03-18,A
78,Person_78,58,Male,HR,76098,2010-03-19,B
79,Person_79,46,Male,IT,56128,2010-03-20,C
80,Person_80,32,Female,Finance,61556,2010-03-21,D
81,Person_81,18,Male,IT,117505,2010-03-22,D
82,Person_82,42,Female,IT,51876,2010-03-23,B
83,Person_83,24,Male,Finance,38949,2010-03-24,B
84,Person_84,26,Male,Marketing,81962,2010-03-25,A
85,Person_85,41,Male,HR,101206,2010-03-26,C
86,Person_86,18,Male,Finance,54099,2010-03-27,B
87,Person_87,25,Male,IT,42716,2010-03-28,A
88,Person_88,41,Female,HR,82611,2010-03-29,B
89,Person_89,28,Female,Finance,68885,2010-03-30,D
90,Person_90,34,Female,HR,83144,2010-03-31,A
91,Person_91,25,Female,HR,95220,2010-04-01,A
92,Person_92,52,Female,Finance,37837,2010-04-02,B
93,Person_93,52,Female,HR,79355,2010-04-03,C
94,Person_94,50,Male,Marketing,77299,2010-04-04,D
95,Person_95,22,Male,Finance,49159,2010-04-05,C
96,Person_96,59,Female,Marketing,81012,2010-04-06,A
97,Person_97,56,Female,IT,89305,2010-04-07,C
98,Person_98,58,Male,HR,117096,2010-04-08,A
99,Person_99,45,Male,IT,47106,2010-04-09,C
100,Person_100,24,Male,IT,88123,2010-04-10,B
101,Person_101,26,Female,HR,38720,2010-04-11,C
102,Person_102,25,Female,Finance,67661,2010-04-12,A
103,Person_103,29,Female,HR,117318,2010-04-13,D
104,Person_104,51,Male,IT,51120,2010-04-14,D
105,Person_105,50,Male,IT,49790,2010-04-15,D
106,Person_106,40,Female,Finance,88655,2010-04-16,A
107,Person_107,41,Female,HR,89643,2010-04-17,C
108,Person_108,54,Male,IT,77374,2010-04-18,D
109,Person_109,52,Male,Marketing,72907,2010-04-19,D
110,Person_110,57,Male,IT,80071,2010-04-20,D
111,Person_111,39,Male,IT,64812,2010-04-21,B
112,Person_112,44,Female,Finance,79570,2010-04-22,A
113,Person_113,52,Male,Marketing,80901,2010-04-23,A
114,Person_114,18,Male,IT,90186,2010-04-24,A
115,Person_115,52,Male,IT,80251,2010-04-25,A
116,Person_116,54,Female,Marketing,95171,2010-04-26,A
117,Person_117,31,Female,HR,66160,2010-04-27,B
118,Person_118,20,Male,HR,49156,2010-04-28,C
119,Person_119,18,Male,IT,106208,2010-04-29,B
120,Person_120,22,Male,IT,109980,2010-04-30,D
121,Person_121,43,Female,HR,102320,2010-05-01,B
122,Person_122,31,Female,Finance,47929,2010-05-02,A
123,Person_123,56,Female,Marketing,96606,2010-05-03,B
124,Person_124,44,Male,Marketing,118442,2010-05-04,A
125,Person_125,26,Female,Finance,92559,2010-05-05,B
126,Person_126,32,Male,Finance,84205,2010-05-06,A
127,Person_127,32,Male,Finance,98475,2010-05-07,D
